Total Household Income,Total Food Expenditure
133503,59124
91174,60502
136119,65863
166851,42361
462344,137207
354463,108837
115768,50001
176945,100188
147434,70348
134149,71821
50988,27876
219667,106300
150762,56349
293325,87321
651074,188789
172440,87284
84026,32177
196823,104350
258218,167792
160810,80539
155279,81967
321062,98826
342907,86447
159055,70580
403108,156033
119152,68929
139985,65557
137229,59400
65487,33302
106689,48586
211176,71047
113647,64922
191600,105729
124316,69921
149049,67950
84822,42260
112034,62004
340050,102975
95650,66383
148455,90922
98974,63971
138735,50977
177565,93592
138480,99222
93981,40589
356850,60441
146330,71243
114724,65194
201050,124559
559233,104938
149986,77351
228286,53064
107865,62318
97614,48585
116220,63793
98401,51358
132177,54380
171669,54137
72120,42235
292142,92419
159524,49511
85039,56338
89279,67051
112182,41004
234106,90210
253350,103663
54685,26946
158914,75897
163871,102328
138290,54927
198561,113575
210814,70792
198845,85912
810496,208130
101688,67810
210236,47979
221465,125646
43099,18305
262888,102997
268382,113629
826522,119764
325660,137463
836272,128545
473678,282177
200130,89079
81436,40911
163998,56405
372618,159550
221716,79356
243948,87555
504872,68357
295085,130153
427342,129832
1713042,240349
156456,71245
407483,155217
356476,144695
199869,78562
205010,85833
358500,168375
157652,101590
122406,68741
86048,55061
412020,173037
64320,34701
209130,94838
126737,62009
467176,156758
293349,111400
39163,17033
291229,144799
123988,48386
397965,95216
340549,43279
48288,23713
96973,57179
191728,83191
298820,117998
112825,70562
89740,24045
326519,73988
108982,35322
139793,44679
394418,118124
167638,54481
464417,93501
73330,51590
201507,64336
199920,115506
270685,102734
186547,61611
454429,35092
95040,53844
71942,28123
88110,39499
107373,29210
92908,67088
95236,31312
602093,66232
124942,43389
816473,179002
183790,59241
213053,58834
188648,64016
276662,89876
425947,144715
261922,47034
417684,105425
210735,46453
1522522,148279
68884,37804
173220,74544
435565,117241
208505,56144
148185,75345
82243,35336
458310,143524
141013,42809
234907,65516
103216,53236
148740,46520
73048,27104
83547,32546
42118,20165
28081,12206
86823,25621
171838,45628
102610,21052
31693,16210
68218,39477
129429,67703
133259,53682
40490,20723
42993,16342
48565,21750
52656,32527
60605,25995
114702,45444
49833,29148
77850,36391
73515,36134
122747,77500
143152,72677
95882,53464
144861,63560
76444,46568
108677,57369
82974,32941
97150,54276
188786,66908
105590,64808
159007,81886
94787,63858
184011,96992
41728,27307
101090,50314
925501,197484
110270,35960
78166,46618
130099,40800
181059,79536
121681,58532
173248,82666
154729,82459
164735,68287
266011,62452
137838,47371
342385,68191
46856,25453
279720,106977
182270,48953
308854,114643
132303,83865
25013,16245
850162,101066
58955,37419
110542,55770
614900,102669
185066,66393
982436,136271
650671,97042
904965,114559
1069624,97694
574885,62140
627722,88453
433075,98475
226878,81085
412780,112997
126934,72250
41236,20516
150827,80893
99549,51065
414771,55037
74854,39230
58148,42095
197097,86991
189976,92081
78439,38612
188131,53416
42379,28345
140484,57571
205422,59756
190236,84060
173309,80149
138236,60421
94901,53463
92460,48867
244210,79006
123662,63324
102522,59803
380047,127972
190630,65556
177029,52278
94817,39410
324904,58532
208292,58042
41221,13844
58949,22720
153519,51149
62624,25263
75869,48588
67794,50810
81793,27569
71088,39734
157738,56631
299859,67436
67548,34917
140735,48144
133007,33016
108531,47899
238729,97238
118365,59360
112873,58445
161910,52564
11815988,286736
877048,96847
195279,76917
311458,67430
74621,31766
418041,68458
119043,76523
125212,42298
64030,42239
346078,56816
76288,45765
181042,96289
145082,94372
118355,70771
141114,79765
109872,65755
116622,66080
128442,66778
103085,64069
108472,66383
94680,55263
137442,84857
133328,85268
144350,80055
194080,70425
108242,64674
134415,77379
102820,45679
72237,29426
202615,85800
223190,93736
166379,82598
115930,58857
234305,99994
102305,51068
100800,58037
105580,61032
130170,71702
109935,61794
303701,65196
104458,41740
128330,53323
157822,73163
147420,77163
101880,55265
193575,88285
159730,75511
173848,80373
173425,82045
111388,62915
247220,96706
68480,27164
127050,74465
119550,63365
100392,56431
357260,160229
134145,61170
104881,51390
88635,47505
142285,61686
139640,66612
136485,58435
126425,58724
67135,30990
125740,59962
189060,65845
93185,52439
241410,141448
115430,56894
72815,27702
103770,65705
152985,60542
122575,56792
140610,67133
130825,64882
161105,82810
114175,62036
95873,52875
181390,80703
108630,66200
163475,64209
117230,50234
292260,117436
196460,79839
206290,97830
180370,76307
255200,68610
78980,35877
59460,18447
162350,86310
616250,125525
315470,123033
93045,25697
358100,113104
75357,48728
89990,56459
61265,34548
97425,39123
76250,33094
86415,47395
82474,45577
62495,34020
91813,50817
113982,69136
65592,38003
112398,64525
105513,68235
101233,61898
67052,25177
87665,55016
81898,49429
100157,58525
77352,42350
84171,46854
80605,40780
75340,40015
119570,58249
103537,59956
89820,49300
81315,47257
118756,64835
119160,67830
113421,56057
107104,67321
124477,64522
106390,64699
106420,59987
103339,56902
116134,64865
95764,50729
108295,56664
125493,70764
114690,69365
98220,45518
119505,79004
123174,86602
118989,60668
86042,54587
92680,56215
103759,59408
82820,48117
88704,43782
101610,49883
100725,58117
120010,73497
127570,75843
138840,82505
95290,53094
102225,55069
129720,69257
99990,57914
107850,68775
99300,53805
117830,68970
98450,51594
337464,116506
321050,198326
184162,134962
1411792,221205
163053,71338
415341,148050
414998,201404
213460,166388
205508,151581
250305,129036
374862,126100
1541760,145380
596805,191183
258622,201272
1222260,218483
202687,104507
701011,222243
